match_id,season,team1,team2,venue,city,toss_winner,toss_decision,team1_matches_played,team1_wins,team1_win_rate,team1_toss_win_rate,team2_matches_played,team2_wins,team2_win_rate,team2_toss_win_rate,h2h_matches_played,h2h_team1_win_rate,is_team1_toss_winner,team1_win
419107,2010,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,Mumbai,Mumbai Indians,bat,16,11,0.6875,0.5625,14,6,0.42857142857142855,0.42857142857142855,29,0.5172413793103449,1,1
419110,2010,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Deccan Chargers,bat,16,9,0.5625,0.625,16,8,0.5,0.5625,10,0.6,0,0
419109,2010,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Kolkata Knight Riders,field,14,7,0.5,0.5,16,8,0.5,0.375,32,0.5625,1,1
419111,2010,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Ahmedabad,Delhi Daredevils,field,14,6,0.42857142857142855,0.42857142857142855,14,7,0.5,0.5714285714285714,18,0.6111111111111112,0,0
419112,2010,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,bat,16,8,0.5,0.375,14,3,0.21428571428571427,0.35714285714285715,26,0.46153846153846156,0,1
419113,2010,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,Chennai Super Kings,bat,14,7,0.5,0.5,16,9,0.5625,0.625,29,0.3448275862068966,0,0
419115,2010,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,16,8,0.5,0.375,14,6,0.42857142857142855,0.42857142857142855,29,0.5172413793103449,1,1
419117,2010,Deccan Chargers,Kings XI Punjab,Barabati Stadium,Cuttack,Kings XI Punjab,field,16,8,0.5,0.5625,14,3,0.21428571428571427,0.35714285714285715,10,0.3,0,1
419118,2010,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals,bat,14,6,0.42857142857142855,0.42857142857142855,14,7,0.5,0.5,28,0.42857142857142855,1,1
419119,2010,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Mumbai,Mumbai Indians,bat,16,11,0.6875,0.5625,16,8,0.5,0.375,32,0.5625,1,0
